WKT,名前,説明,列４,住所
"POINT (139.0 35.0)", "三鷹駅前コミュニティ・センター", "説明", "三鷹市", "東京都三鷹市下連雀3-13-10"
"POINT (139.0 35.0)", "東多世代交流センター", "説明", "三鷹市", "東京都三鷹市牟礼2-13-19"
"POINT (139.0 35.0)", "青梅市役所２０１・２０２会議室", "説明", "青梅市", "東京都青梅市東青梅1-11-1"
"POINT (139.0 35.0)", "青梅市中央図書館多目的室", "説明", "青梅市", "東京都青梅市河辺町10-8-1"
"POINT (139.0 35.0)", "府中市役所おもや１階", "説明", "府中市", "東京都府中市宮西町2-24"
"POINT (139.0 35.0)", "市政情報センター（ル・シーニュ５階）", "説明", "府中市", "東京都府中市宮町1-100"
"POINT (139.0 35.0)", "東部出張所（白糸台文化センター）", "説明", "府中市", "東京都府中市白糸台1-60"
"POINT (139.0 35.0)", "西部出張所（西府文化センター）", "説明", "府中市", "東京都府中市西府町1-60"
"POINT (139.0 35.0)", "昭島市役所１階市民ロビー", "説明", "昭島市", "東京都昭島市田中町1-17-1"
"POINT (139.0 35.0)", "市立福島会館学習室", "説明", "昭島市", "東京都昭島市福島町1-19-1"
"POINT (139.0 35.0)", "イトーヨーカドー昭島店２階", "説明", "昭島市", "東京都昭島市田中町562-1"
"POINT (139.0 35.0)", "調布市役所１階めじろホール", "説明", "調布市", "東京都調布市小島町2-35-1"
"POINT (139.0 35.0)", "市民プラザあくろす２階 市民活動支援センター", "説明", "調布市", "東京都調布市国領町2-5-15"
"POINT (139.0 35.0)", "つつじケ丘児童館ホール", "説明", "調布市", "東京都調布市西つつじヶ丘3-19-1"
"POINT (139.0 35.0)", "深大寺地域福祉センター", "説明", "調布市", "東京都調布市深大寺北町2-40-1"
"POINT (139.0 35.0)", "町田市庁舎", "説明", "町田市", "東京都町田市森野2-2-22"
"POINT (139.0 35.0)", "南市民センター", "説明", "町田市", "東京都町田市金森4-5-6"
"POINT (139.0 35.0)", "なるせ駅前市民センター", "説明", "町田市", "東京都町田市南成瀬1-2-5"
"POINT (139.0 35.0)", "鶴川市民センター", "説明", "町田市", "東京都町田市大蔵町1981-4"
"POINT (139.0 35.0)", "忠生市民センター", "説明", "町田市", "東京都町田市忠生3-14-2"
"POINT (139.0 35.0)", "小山市民センター", "説明", "町田市", "東京都町田市小山町2507-1"
